Index of pulse,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
45,98.6842105263157,1.9999999999999836,0.4133333333333342,0.2799999999999981,0.18666666666666934,1.5500000000000056,1.0499999999999945,0.7000000000000111,2.9999999999999702,1.3846153846154134,1.36363636363636,1.3333333333333497,1.1249999999999862,1.0,1.0,0.2666666666666663,-2.8538210445022423,0.0011787326095930167,0.2019982836767396,0.10058858655005862,6.025142879992619,3.6150857279955586
46,99.99999999999976,1.9090909090909034,0.605263157894734,0.24999999999999561,0.15789473684210525,2.1904761904761916,0.9047619047618937,0.5714285714285744,1.3333333333333235,2.5384615384615516,1.0833333333333242,1.1111111111111,1.0,0.999999999999926,1.0,0.27631578947368274,-3.829301948851762,0.10963719887773433,0.8737479429499139,0.10831522636604758,5.875107846915841,3.5250647081495043
47,100.00000000000036,1.9090909090909225,0.39189189189189155,0.27027027027027106,0.17567567567567471,1.4499999999999944,1.0,0.6499999999999945,2.9999999999999702,1.4166666666666574,1.3636363636363196,1.22222222222214,1.2857142857142494,1.166666666666568,1.0,0.27027027027027106,-2.513195328887729,-0.07877787328166366,0.701183201545715,0.12045132800522348,5.18881784327772,3.074855018238657
48,99.99999999999976,1.833333333333328,0.4078947368421067,0.27631578947368274,0.1710526315789459,1.4761904761904894,1.0,0.6190476190476171,3.066666666666659,1.3846153846154134,1.45454545454544,1.3333333333333497,1.1249999999999862,1.1666666666667282,1.0,0.27631578947368274,-2.9836720696091037,0.05666533573780065,0.9891165261261871,0.11422721540293536,5.930454948491169,3.342620061876841
49,98.6842105263157,1.954545454545478,0.3866666666666669,0.26666666666666194,0.18666666666667045,1.4499999999999944,0.9999999999999778,0.7000000000000111,3.066666666666629,1.4166666666666574,1.3636363636363196,1.2222222222222003,1.1249999999999862,1.0,1.0,0.26666666666666783,-2.8038388447418487,0.005378303909911541,0.21047758521723375,0.11337993429743888,5.345395636503708,3.2072373819022397
50,98.68421052631628,1.8333333333333024,0.37662337662337353,0.2597402597402586,0.16883116883116667,1.3809523809523538,0.9523809523809372,0.619047619047604,3.066666666666629,1.4166666666666574,1.3636363636363196,1.22222222222214,1.2857142857142494,1.166666666666568,1.0,0.27272727272727587,-3.0800606936880337,0.015968633730333283,0.3477386259050407,0.10504144769478102,6.24753384879923,3.5700193421709456
51,101.35135135135096,1.8260869565217515,0.3783783783783795,0.27027027027027106,0.17567567567567471,1.400000000000031,1.0000000000000222,0.6500000000000089,2.9333333333333984,1.3333333333333333,1.2727272727273315,1.2222222222222496,1.1428571428571972,1.1666666666667282,1.0,0.27027027027026507,-2.8271791026487594,0.0026387084492656893,0.4422357294610127,0.10463717943491664,6.165698404780133,3.539567602744181
52,98.6842105263157,1.833333333333328,0.4078947368421067,0.27631578947368274,0.1842105263157924,1.5500000000000056,1.0499999999999945,0.7000000000000111,3.35714285714278,1.5833333333333426,1.45454545454544,1.3333333333333497,1.2857142857142494,1.333333333333284,1.666666666666568,0.2631578947368421,-3.0329341785015997,0.0300862405925894,-0.719057633890617,0.0975046168739077,6.409952882623463,3.662830218641973
53,98.6842105263157,1.759999999999995,0.3684210526315789,0.2631578947368421,0.1710526315789459,1.4,1.0,0.6499999999999945,3.071428571428499,1.3333333333333333,1.2727272727272396,1.22222222222214,1.2857142857142494,1.166666666666568,1.0,0.2631578947368421,-3.128541429043953,0.03202739816309879,2.0960362094518126,0.0966161315601439,6.677573195123905,3.696513733015013
54,98.6842105263157,1.913043478260873,0.3896103896103815,0.2727272727272774,0.1688311688311734,1.4999999999999667,1.0500000000000167,0.6500000000000167,3.2857142857142176,1.4999999999999445,1.36363636363636,1.333333333333284,1.2857142857142494,1.166666666666642,1.333333333333284,0.2597402597402601,-3.4672881591334326,0.06673421389434056,0.854218015446529,0.10300886319023377,5.710530879574043,3.4062815772897816
55,98.68421052631628,1.749999999999987,0.3866666666666646,0.26666666666666033,0.1733333333333316,1.5263157894736694,1.0526315789473388,0.6842105263157796,3.285714285714186,1.6363636363635996,1.5999999999998935,1.4999999999999445,1.2857142857141044,1.6000000000000356,1.666666666666568,0.25333333333333447,-2.7626482276602213,-0.014409723340412848,0.6797478804579855,0.10700957292590837,5.548569008971832,3.1706108622696023
56,99.99999999999976,1.8260869565217954,0.5866666666666668,0.28000000000001324,0.17333333333333364,2.200000000000027,1.0500000000000622,0.6500000000000089,3.2857142857142496,2.6666666666667656,1.3636363636363196,1.3333333333333333,1.2857142857143944,1.166666666666568,1.000000000000222,0.2666666666666635,-2.6286366111016073,-0.004118983765632882,0.6295323126735984,0.10916533662535208,5.725260593891039,3.331060709173029
57,97.40259740259745,1.6923076923076947,0.5454545454545549,0.28571428571428903,0.18181818181818496,2.0999999999999868,1.0999999999999868,0.6999999999999955,3.428571428571374,2.499999999999926,1.54545454545456,1.4444444444443787,1.4285714285714648,1.333333333333284,1.666666666666568,0.2597402597402659,-2.6484637659513433,0.005234887037488867,0.6642865188386722,0.09280058367375214,6.952125350749099,3.780980453916153
58,97.40259740259745,1.9545454545454088,0.38157894736842907,0.2631578947368464,0.1710526315789449,1.4500000000000066,1.0,0.64999999999998,3.0666666666667495,1.416666666666642,1.3636363636363196,1.2222222222221892,1.2857142857143944,1.166666666666568,0.999999999999778,0.2631578947368464,-3.3491932092832775,0.09302226193033097,0.8277959227233055,0.09389430113745278,6.264866844863622,3.803669155810001
59,97.40259740259745,1.7199999999999798,0.3717948717948693,0.2564102564102614,0.16666666666666477,1.380952380952383,0.9523809523809785,0.6190476190476171,3.2000000000000712,1.416666666666747,1.3636363636363196,1.2222222222221892,1.2857142857143944,1.166666666666568,1.0,0.26923076923076705,-3.0801236528058284,0.033425582065799646,0.40270288644830027,0.10428792699027095,6.29267470300006,3.5327296578245817
60,99.99999999999976,1.7916666666667194,0.3866666666666692,0.2666666666666754,0.17333333333333364,1.4500000000000266,1.0000000000000444,0.6500000000000089,3.000000000000059,1.416666666666747,1.3636363636363196,1.2222222222221892,1.1428571428571972,1.166666666666568,1.000000000000222,0.2666666666666635,-2.906150827582542,0.03784064559391606,1.1987373324299402,0.10907826388295444,5.914664089399546,3.3337197594798065
61,98.68421052631628,1.7199999999999644,0.3947368421052638,0.27631578947368113,0.1710526315789449,1.4999999999999778,1.0499999999999712,0.64999999999998,3.066666666666568,1.499999999999926,1.45454545454544,1.3333333333332347,1.2857142857141044,1.166666666666568,0.999999999999778,0.2631578947368464,-2.9558336384690107,0.03395111859213373,0.13452660962740262,0.10582929922781935,6.096244565824468,3.3747068132242055
62,97.40259740259745,1.6666666666666694,0.40259740259739885,0.27272727272727165,0.16883116883116764,1.5500000000000178,1.0500000000000178,0.6500000000000089,3.000000000000059,1.5833333333334012,1.45454545454544,1.333333333333465,1.2857142857143944,1.1666666666668888,1.000000000000222,0.25974025974025433,-2.8320844643907916,0.023157238909096992,0.546148078798549,0.1028085925212091,6.484542296687036,3.4129169982563607
63,96.15384615384579,1.7916666666666448,0.5897435897435909,0.26923076923076705,0.17948717948717044,2.300000000000062,1.0500000000000178,0.6999999999999822,3.2000000000000712,2.833333333333494,1.45454545454544,1.333333333333465,1.2857142857143944,1.3333333333334814,1.000000000000222,0.25641025641025,-3.0128600350332078,0.04624943844932187,1.1145207833644672,0.10211387528115483,5.760581434188174,3.3768925648689296
